experiment_scope,model,tn,fp,fn,tp,accuracy,precision,recall,toxic_f1,macro_f1
fixed_200k,Logistic Regression,150832,13006,3735,10510,0.9059932727997619,0.44692974995747575,0.7378027378027378,0.5566589867853076,0.7520406474260389
fixed_200k,Linear SVM,152765,11073,4851,9394,0.9105810212092115,0.458982752723897,0.6594594594594595,0.5412537451025582,0.7458581653645587
fixed_200k,DistilBERT,160286,3552,5358,8887,0.9499671501490878,0.7144464989147038,0.6238680238680239,0.666092040173887,0.8195247958622514
fixed_200k,BERT-base,159979,3859,5023,9222,0.950124380204736,0.7049919730907424,0.6473850473850474,0.6749615750567225,0.8239757394806785
fixed_200k,HateBERT,159266,4572,4614,9631,0.9484173110291269,0.6780961768640428,0.6760968760968761,0.6770950506186727,0.824532426962587
full_data,Logistic Regression,148727,15111,2692,11553,0.9000297614033905,0.43328082808280827,0.811021411021411,0.5648145884768633,0.7541716008200461
full_data,Linear SVM,148085,15753,2951,11294,0.8949703228269964,0.4175694162014271,0.7928395928395928,0.5470309018696116,0.7438146817382383
full_data,DistilBERT,160596,3242,5018,9227,0.9536171335837783,0.7399951880664046,0.6477360477360478,0.6907988320730702,0.832863447215584
full_data,BERT-base,161002,2836,5231,9014,0.9547008978959249,0.7606751054852321,0.6327834327834327,0.6908603180685955,0.833210060934192
full_data,HateBERT,160664,3174,5020,9225,0.9539877472863777,0.7440116138398258,0.6475956475956476,0.6924635940549467,0.833798636267342
