experiment_scope,model,model_family,train_rows,validation_rows,test_rows,accuracy,toxic_precision,toxic_recall,toxic_f1,macro_f1,tn,fp,fn,tp,recorded_training_seconds,epochs,max_length,train_batch_size_per_device,learning_rate,seed,hardware,source
full_data,Logistic Regression,Traditional ML,1424657,178082,178083,0.9000297614,0.4332808281,0.811021411,0.5648145885,0.7541716008,148727,15111,2692,11553,63.782917831,,,,,42,4-core x86_64 CPU,results/full_data/logistic_regression/metrics.json
full_data,Linear SVM,Traditional ML,1424657,178082,178083,0.8949703228,0.4175694162,0.7928395928,0.5470309019,0.7438146817,148085,15753,2951,11294,122.408909506,,,,,42,4-core x86_64 CPU,results/full_data/linear_svm/metrics.json
full_data,DistilBERT,General-purpose Transformer,1424657,178082,178083,0.9536171335837784,0.7399951880664046,0.6477360477360478,0.6907988320730702,0.832863447215584,160596,3242,5018,9227,10529.672188898,1.0,128.0,32.0,2e-05,42,2x Tesla T4,results/full_data/distilbert/metrics.json
full_data,BERT-base,General-purpose Transformer,1424657,178082,178083,0.9547008979,0.7606751055,0.6327834328,0.6908603181,0.8332100609,161002,2836,5231,9014,21724.540640166,1.0,128.0,16.0,2e-05,42,2x Tesla T4,results/full_data/bert_base/metrics.json
full_data,HateBERT,Task-specific Transformer,1424657,178082,178083,0.9539877473,0.7440116138,0.6475956476,0.6924635941,0.8337986363,160664,3174,5020,9225,21483.104988998,1.0,128.0,16.0,2e-05,42,2x Tesla T4,results/full_data/hatebert/metrics.json
fixed_200k,Logistic Regression,Traditional ML,200000,20000,178083,0.9059932728,0.44692975,0.7378027378,0.5566589868,0.7520406474,150832,13006,3735,10510,5.619769094,,,,,42,4-core CPU,results/fixed_200k/logistic_regression/metrics.json
fixed_200k,Linear SVM,Traditional ML,200000,20000,178083,0.9105810212,0.4589827527,0.6594594595,0.5412537451,0.7458581654,152765,11073,4851,9394,10.610159177,,,,,42,4-core CPU,results/fixed_200k/linear_svm/metrics.json
fixed_200k,DistilBERT,General-purpose Transformer,200000,20000,178083,0.9499671501,0.7144464989,0.6238680239,0.6660920402,0.8195247959,160286,3552,5358,8887,3126.0936,2.0,128.0,16.0,2e-05,42,2x Tesla T4,results/fixed_200k/distilbert/metrics.json
fixed_200k,BERT-base,General-purpose Transformer,200000,20000,178083,0.9501243802,0.7049919731,0.6473850474,0.6749615751,0.8239757395,159979,3859,5023,9222,6006.6018,2.0,128.0,16.0,2e-05,42,2x Tesla T4,results/fixed_200k/bert_base/metrics.json
fixed_200k,HateBERT,Task-specific Transformer,200000,20000,178083,0.948417311,0.6780961769,0.6760968761,0.6770950506,0.824532426,159266,4572,4614,9631,6071.6832,2.0,128.0,16.0,2e-05,42,2x Tesla T4,results/fixed_200k/hatebert/metrics.json
